doc_id	path	title
1342	books/pg01342_Pride_and_Prejudice.txt	Pride and Prejudice
1399	books/pg01399_Anna_Karenina.txt	Anna Karenina
1400	books/pg01400_Great_Expectations.txt	Great Expectations
1497	books/pg01497_The_Republic.txt	The Republic
1510	books/pg01510_Love_s_Labour_s_Lost.txt	Love s Labour s Lost
1513	books/pg01513_Romeo_and_Juliet.txt	Romeo and Juliet
1514	books/pg01514_A_Midsummer_Night_s_Dream.txt	A Midsummer Night s Dream
1523	books/pg01523_As_You_Like_It.txt	As You Like It
1524	books/pg01524_Hamlet.txt	Hamlet
1600	books/pg01600_Symposium.txt	Symposium
1608	books/pg01608_Camille_La_Dame_aux_Camilias.txt	Camille La Dame aux Camilias
1636	books/pg01636_Phaedrus.txt	Phaedrus
1658	books/pg01658_Phaedo.txt	Phaedo
1661	books/pg01661_The_Adventures_of_Sherlock_Holmes.txt	The Adventures of Sherlock Holmes
1685	books/pg01685_The_Mystery_of_the_Yellow_Room.txt	The Mystery of the Yellow Room
1686	books/pg01686_The_Secret_of_the_Night.txt	The Secret of the Night
1695	books/pg01695_The_Man_Who_Was_Thursday_A_Nightmare.txt	The Man Who Was Thursday A Nightmare
1719	books/pg01719_The_Ballad_of_the_White_Horse.txt	The Ballad of the White Horse
1727	books/pg01727_The_Odyssey_Rendered_into_English_prose_for_the_use_of_those.txt	The Odyssey Rendered into English prose for the use of those
1837	books/pg01837_The_Prince_and_the_Pauper.txt	The Prince and the Pauper
1849	books/pg01849_The_Yellow_Crayon.txt	The Yellow Crayon
1872	books/pg01872_The_Red_House_Mystery.txt	The Red House Mystery
1874	books/pg01874_The_Railway_Children.txt	The Railway Children
1931	books/pg01931_The_Zeppelin_s_Passenger.txt	The Zeppelin s Passenger
1934	books/pg01934_Songs_of_Innocence_and_of_Experience.txt	Songs of Innocence and of Experience
1952	books/pg01952_The_Yellow_Wallpaper.txt	The Yellow Wallpaper
1998	books/pg01998_Thus_Spake_Zarathustra_A_Book_for_All_and_None.txt	Thus Spake Zarathustra A Book for All and None
2002	books/pg02002_Sonnets_from_the_Portuguese.txt	Sonnets from the Portuguese
2038	books/pg02038_The_Lock_and_Key_Library_Classic_Mystery_and_Detective_Stori.txt	The Lock and Key Library Classic Mystery and Detective Stori
2087	books/pg02087_Life_and_Letters_of_Charles_Darwin_Volume_1.txt	Life and Letters of Charles Darwin Volume 1
2097	books/pg02097_The_Sign_of_the_Four.txt	The Sign of the Four
2147	books/pg02147_The_Works_of_Edgar_Allan_Poe_Volume_1.txt	The Works of Edgar Allan Poe Volume 1
2148	books/pg02148_The_Works_of_Edgar_Allan_Poe_Volume_2.txt	The Works of Edgar Allan Poe Volume 2
2160	books/pg02160_The_Expedition_of_Humphry_Clinker.txt	The Expedition of Humphry Clinker
2162	books/pg02162_Anarchism_and_Other_Essays.txt	Anarchism and Other Essays
2199	books/pg02199_The_Iliad.txt	The Iliad
2350	books/pg02350_His_last_bow_b_Some_later_reminiscences_of_Sherlock_Holmes.txt	His last bow b Some later reminiscences of Sherlock Holmes
2360	books/pg02360_The_Riddle_of_the_Sands.txt	The Riddle of the Sands
2465	books/pg02465_Carmen.txt	Carmen
2488	books/pg02488_Twenty_Thousand_Leagues_Under_the_Seas_An_Underwater_Tour_of.txt	Twenty Thousand Leagues Under the Seas An Underwater Tour of
2527	books/pg02527_The_Sorrows_of_Young_Werther.txt	The Sorrows of Young Werther
2542	books/pg02542_A_Doll_s_House_a_play.txt	A Doll s House a play
2554	books/pg02554_Crime_and_Punishment.txt	Crime and Punishment
2591	books/pg02591_Grimms_Fairy_Tales.txt	Grimms Fairy Tales
2600	books/pg02600_War_and_Peace.txt	War and Peace
2610	books/pg02610_Notre_Dame_de_Paris.txt	Notre Dame de Paris
2620	books/pg02620_The_Home_Book_of_Verse_Volume_2.txt	The Home Book of Verse Volume 2
2638	books/pg02638_The_Idiot.txt	The Idiot
2641	books/pg02641_A_Room_with_a_View.txt	A Room with a View
2680	books/pg02680_Meditations.txt	Meditations
2701	books/pg02701_Moby_Dick_Or_The_Whale.txt	Moby Dick Or The Whale
2739	books/pg02739_More_Letters_of_Charles_Darwin_Volume_1_A_Record_of_His_Work.txt	More Letters of Charles Darwin Volume 1 A Record of His Work
2760	books/pg02760_Celebrated_Crimes_Complete.txt	Celebrated Crimes Complete
2806	books/pg02806_The_Phantom_Rickshaw_and_Other_Ghost_Stories.txt	The Phantom Rickshaw and Other Ghost Stories
2813	books/pg02813_The_Grand_Babylon_H_tel.txt	The Grand Babylon H tel
2814	books/pg02814_Dubliners.txt	Dubliners
2825	books/pg02825_Undine.txt	Undine
2848	books/pg02848_Antiquities_of_the_Jews.txt	Antiquities of the Jews
2852	books/pg02852_The_Hound_of_the_Baskervilles.txt	The Hound of the Baskervilles
2868	books/pg02868_The_Green_Mummy.txt	The Green Mummy
2895	books/pg02895_Following_the_Equator_A_Journey_Around_the_World.txt	Following the Equator A Journey Around the World
3011	books/pg03011_The_Lady_of_the_Lake.txt	The Lady of the Lake
3070	books/pg03070_The_Hound_of_the_Baskervilles.txt	The Hound of the Baskervilles
3177	books/pg03177_Roughing_It.txt	Roughing It
3206	books/pg03206_Moby_Multiple_Language_Lists_of_Common_Words.txt	Moby Multiple Language Lists of Common Words
3207	books/pg03207_Leviathan.txt	Leviathan
3268	books/pg03268_The_Mysteries_of_Udolpho.txt	The Mysteries of Udolpho
3289	books/pg03289_The_Valley_of_Fear.txt	The Valley of Fear
3296	books/pg03296_The_Confessions_of_St_Augustine.txt	The Confessions of St Augustine
3300	books/pg03300_An_Inquiry_into_the_Nature_and_Causes_of_the_Wealth_of_Natio.txt	An Inquiry into the Nature and Causes of the Wealth of Natio
3321	books/pg03321_Children_of_the_Whirlwind.txt	Children of the Whirlwind
3530	books/pg03530_Love_at_arms_b_being_a_narrative_excerpted_from_the_chronicl.txt	Love at arms b being a narrative excerpted from the chronicl
3600	books/pg03600_Essays_of_Michel_de_Montaigne_Complete.txt	Essays of Michel de Montaigne Complete
3825	books/pg03825_Pygmalion.txt	Pygmalion
3922	books/pg03922_The_Red_Lily_Complete.txt	The Red Lily Complete
4085	books/pg04085_The_Adventures_of_Roderick_Random.txt	The Adventures of Roderick Random
4200	books/pg04200_The_Diary_of_Samuel_Pepys_Complete.txt	The Diary of Samuel Pepys Complete
4217	books/pg04217_A_Portrait_of_the_Artist_as_a_Young_Man.txt	A Portrait of the Artist as a Young Man
4280	books/pg04280_The_Critique_of_Pure_Reason.txt	The Critique of Pure Reason
4300	books/pg04300_Ulysses.txt	Ulysses
